key,en,es,pt-BR
# =============================================================================
# Vectora TUI — translation strings
#
# Formato: key,en,es,pt-BR — espelha chat/lib/i18n/strings.csv.ts (key,en,es,pt)
# Resolução em __init__.py::t(): runtime_settings.language -> en -> chave.
# Interpolação: {var}  ex.: t("tui.session.current", id=thread_id)
# Linhas iniciando com # são comentários (ignoradas pelo parser).
# =============================================================================

# ---------------------------------------------------------------------------
# /help — texto completo do comando de ajuda
# ---------------------------------------------------------------------------
tui.help.title,Available commands:,Comandos disponibles:,Comandos disponíveis:
tui.help.cmd.help,This help,Esta ayuda,Esta ajuda
tui.help.cmd.new,New session,Nueva sesión,Nova sessão
tui.help.cmd.clear,Clear messages,Limpiar mensajes,Limpar mensagens
tui.help.cmd.session,Switch session,Cambiar de sesión,Trocar de sessão
tui.help.cmd.sessions,List recent sessions,Listar sesiones recientes,Listar sessões recentes
tui.help.cmd.model_list,List available models,Listar modelos disponibles,Listar modelos disponíveis
tui.help.cmd.model_set,Switch model,Cambiar de modelo,Trocar modelo
tui.help.cmd.debug_show,Show current verbosity level,Ver nivel de verbosidad actual,Ver nível de verbosidade atual
tui.help.cmd.debug_set,"Set verbosity (0=Silent, 5=Full)","Definir verbosidad (0=Silencio, 5=Full)","Definir verbosidade (0=Silêncio, 5=Full)"
tui.help.cmd.rag,RAG pipeline status,Estado del pipeline RAG,Status do pipeline RAG
tui.help.cmd.traces,Latest agent traces,Últimos traces del agente,Últimos traces do agente
tui.help.cmd.workspaces,List workspaces,Listar workspaces,Listar workspaces
tui.help.cmd.quit,Quit,Salir,Sair

# ---------------------------------------------------------------------------
# Popup de autocomplete (SLASH_COMMANDS)
# ---------------------------------------------------------------------------
tui.popup.cmd.rag_add,Indexes a folder or file into RAG,Indexa una carpeta o archivo en el RAG,Indexa pasta ou arquivo no RAG
tui.popup.cmd.rag_list,Shows RAG statistics,Muestra estadísticas del RAG,Exibe estatísticas do RAG
tui.popup.cmd.workspace,Switches the active workspace,Cambia el workspace activo,Troca o workspace ativo
tui.popup.cmd.branch,Creates or switches branch,Crea o cambia de branch,Cria ou troca de branch
tui.popup.cmd.pr,Opens a pull request,Abre un pull request,Abre um pull request
tui.popup.cmd.model,Switches the language model,Cambia el modelo de lenguaje,Troca o modelo de linguagem
tui.popup.cmd.clear,Clears the thread history,Limpia el historial del hilo,Limpa o histórico da thread
